year,cpi_u,note
2015,237.017,BLS CUUR0000SA0 annual average (1982-84=100)
2016,240.007,BLS CUUR0000SA0 annual average
2017,245.120,BLS CUUR0000SA0 annual average
2018,251.107,BLS CUUR0000SA0 annual average
2019,255.657,BLS CUUR0000SA0 annual average
2020,258.811,BLS CUUR0000SA0 annual average
2021,270.970,BLS CUUR0000SA0 annual average
2022,292.655,BLS CUUR0000SA0 annual average
2023,304.702,BLS CUUR0000SA0 annual average
2024,313.689,BLS CUUR0000SA0 annual average
2025,321.943,BLS CUUR0000SA0 provisional 11-month average (year incomplete)
