federal_account_code,account_title,short_account_title,agency_identifier,main_account_code,managing_agency,managing_agency_acronym,parent_agency_toptier_code,bureau_name,bureau_slug,account_id,budgetary_resources_fy2026
005-0107,"Salaries and Expenses, Government Accountability Office","Salaries and Expenses, Government Accountability Office",005,0107,Government Accountability Office,GAO,005,Government Accountability Office,government-accountability-office,3255,981839591.73
009-0110,"Salaries and Expenses, Commission on Security and Cooperation in Europe","Salaries and Expenses, Commission on Security and Cooperation in Europe",009,0110,Legislative Branch Boards and Commissions,LEG ORGS,009,Legislative Branch Boards and Commissions,legislative-branch-boards-and-commissions,3261,
009-0500,"International Conferences and Contingencies, House and Senate   Expenses","International Conferences and Contingencies, House and Senate   Expenses",009,0500,Legislative Branch Boards and Commissions,LEG ORGS,009,Legislative Branch Boards and Commissions,legislative-branch-boards-and-commissions,3264,865742.22
010-0930,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",010,0930,The Judicial Branch,JUD BRANCH,010,"Courts of Appeals, District Courts, and Other Judicial Services",courts-of-appeals-district-courts-and-other-judicial-services,3292,758436092.13
011-0001,"Compensation of the President, Executive Office of the President","Compensation of the President, Executive Office of the President",011,0001,Executive Office of the President,EOP,1100,The White House,the-white-house,3313,495731.49
011-0030,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President","Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",011,0030,Executive Office of the President,EOP,1100,Unanticipated Needs,unanticipated-needs,3317,313124.6
011-0035,"Partnership Fund for Program Integrity Innovation, Funds Appropriated to the President, Executive Office of the President","Partnership Fund for Program Integrity Innovation, Funds Appropriated to the President, Executive Office of the President",011,0035,Department of Health and Human Services,HHS,075,Unanticipated Needs,unanticipated-needs,3319,
011-0036,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President","Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",011,0036,Executive Office of the President,EOP,1100,Unanticipated Needs,unanticipated-needs,3320,31574819.23
011-0037,"Unanticipated Needs, Executive Office of the President","Unanticipated Needs, Executive Office of the President",011,0037,Executive Office of the President,EOP,1100,Unanticipated Needs,unanticipated-needs,3321,5168213.28
011-0038,"Salaries and Expenses, Office of Administration, Executive","Salaries and Expenses, Office of Administration, Executive",011,0038,Executive Office of the President,EOP,1100,Office of Administration,office-of-administration,3322,163683335.54
011-0040,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President","United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",011,0040,Department of State,DOS,019,Other,other,3323,330220775.1
011-0041,"United States DOGE Service, Office of Administration, Executive Office of the President","United States DOGE Service, Office of Administration, Executive Office of the President",011,0041,Executive Office of the President,EOP,1100,Unanticipated Needs,unanticipated-needs,7269,44155837.49
011-0048,National Space Council,National Space Council,011,0048,Executive Office of the President,EOP,1100,National Space Council,national-space-council,3324,2663150.93
011-0071,"Contribution to the Strategic Climate Fund, Funds Appropriated to the President","Contribution to the Strategic Climate Fund, Funds Appropriated to the President",011,0071,Department of the Treasury,TREAS,020,Multilateral Assistance,multilateral-assistance,3327,
011-0072,"Contribution to the Inter-American Development Bank, Funds Appropriated to the President","Contribution to the Inter-American Development Bank, Funds Appropriated to the President",011,0072,Department of the Treasury,TREAS,020,Multilateral Assistance,multilateral-assistance,3328,
011-0077,"Contribution to the International Bank for Reconstruction and Development, Funds Appropriated to the President","Contribution to the International Bank for Reconstruction and Development, Funds Appropriated to the President",011,0077,Department of the Treasury,TREAS,020,Multilateral Assistance,multilateral-assistance,3332,
011-0080,"Contribution to the Clean Technology Fund, Funds Appropriated to the President","Contribution to the Clean Technology Fund, Funds Appropriated to the President",011,0080,Department of the Treasury,TREAS,020,Multilateral Assistance,multilateral-assistance,3335,
011-0091,"Debt Restructuring, Funds Appropriated to the President","Debt Restructuring, Funds Appropriated to the President",011,0091,Department of the Treasury,TREAS,020,Multilateral Assistance,multilateral-assistance,3342,
011-0100,"Peace Corps, Funds Appropriated to the President","Peace Corps, Funds Appropriated to the President",011,0100,Peace Corps,PC,1125,Peace Corps,peace-corps,3343,480124207.33
011-0101,"Foreign Currency Fluctuations, Peace Corps","Foreign Currency Fluctuations, Peace Corps",011,0101,Peace Corps,PC,1125,Peace Corps,peace-corps,3344,3200000.0
011-0108,"Presidential Transition Administrative Support, Executive Office of the President","Presidential Transition Administrative Support, Executive Office of the President",011,0108,Executive Office of the President,EOP,1100,Office of Administration,office-of-administration,3345,706107.85
011-0109,"White House Repair and Restoration, Executive Office of the President","White House Repair and Restoration, Executive Office of the President",011,0109,Executive Office of the President,EOP,1100,Executive Residence at the White House,executive-residence-at-the-white-house,3346,
011-0110,"Salaries and Expenses, the White House, Executive Office of the President","Salaries and Expenses, the White House, Executive Office of the President",011,0110,Executive Office of the President,EOP,1100,The White House,the-white-house,3347,94928977.99
011-0210,"Operating Expenses, Executive Residence at the White House, Executive Office of the President","Operating Expenses, Executive Residence at the White House, Executive Office of the President",011,0210,Executive Office of the President,EOP,1100,Executive Residence at the White House,executive-residence-at-the-white-house,3348,
011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President","Operating Expenses, Official Residence of the Vice President, Executive Office of the President",011,0211,Executive Office of the President,EOP,1100,Special Assistance to the President and the Official Residence of the Vice President,special-assistance-to-the-president-and-the-official-residence-of-the-vice-president,3349,624484.93
011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President","Salaries and Expenses, Office of Management and Budget, Executive Office of the President",011,0300,Executive Office of the President,EOP,1100,Office of Management and Budget,office-of-management-and-budget,3350,278516443.38
011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President","Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",011,0400,Executive Office of the President,EOP,1100,Office of the United States Trade Representative,office-of-the-united-states-trade-representative,3351,84672512.66
011-1001,"Trade and Development Agency, Funds Appropriated to the President","Trade and Development Agency, Funds Appropriated to the President",011,1001,United States Trade and Development Agency,USTDA,1133,Trade and Development Agency,trade-and-development-agency,3353,226783239.95
011-1005,"International Organizations and Programs, Economic Assistance, Funds Appropriated to the President","International Organizations and Programs, Economic Assistance, Funds Appropriated to the President",011,1005,Department of State,DOS,019,Multilateral Assistance,multilateral-assistance,3354,
011-1008,"Contribution to the North American Development Bank, Funds Appropriated to the President","Contribution to the North American Development Bank, Funds Appropriated to the President",011,1008,Department of the Treasury,TREAS,020,Multilateral Assistance,multilateral-assistance,3355,0.0
011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance, State","International Narcotics Control and Law Enforcement, International Security Assistance, State",011,1022,Department of State,DOS,019,Other,other,3356,2674103146.65
011-1032,"Peacekeeping Operations, Funds Appropriated to the President","Peacekeeping Operations, Funds Appropriated to the President",011,1032,Department of State,DOS,019,International Security Assistance,international-security-assistance,3357,932257465.57
011-1041,"Global Security Contingency Fund, State","Global Security Contingency Fund, State",011,1041,Department of State,DOS,019,International Security Assistance,international-security-assistance,3360,920917.31
011-1045,"International Affairs Technical Assistance, Executive Office of the President","International Affairs Technical Assistance, Executive Office of the President",011,1045,Department of the Treasury,TREAS,020,Multilateral Assistance,multilateral-assistance,3361,
011-1070,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President","High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",011,1070,Executive Office of the President,EOP,1100,Federal Drug Control Programs,federal-drug-control-programs,3362,339363247.54
011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President","Nonproliferation and Disarmament Fund, Funds Appropriated to the President",011,1071,Department of State,DOS,019,International Security Assistance,international-security-assistance,3363,1.16
011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State","Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",011,1075,Department of State,DOS,019,International Security Assistance,international-security-assistance,3365,2183408579.02
011-1081,"International Military Education and Training, Funds Appropriated to the President","International Military Education and Training, Funds Appropriated to the President",011,1081,Department of Defense,DOD,097,International Security Assistance,international-security-assistance,3366,192014681.32
011-1082,"Foreign Military Financing Program, Funds, Appropriated to the President","Foreign Military Financing Program, Funds, Appropriated to the President",011,1082,Department of Defense,DOD,097,International Security Assistance,international-security-assistance,3367,9119088592.69
011-1083,"Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President","Pakistan Counterinsurgency Capability Fund, Funds Appropriated to the President",011,1083,Department of State,DOS,019,International Security Assistance,international-security-assistance,3368,
011-1085,"Foreign Military Financing, Direct Loan Program Account, Funds Appropriated to the President","Foreign Military Financing, Direct Loan Program Account, Funds Appropriated to the President",011,1085,Department of Defense,DOD,097,International Security Assistance,international-security-assistance,3369,636761.83
011-1453,"Council on Environmental Quality and Office of Environmental Quality, Executive","Council on Environmental Quality and Office of Environmental Quality, Executive",011,1453,Executive Office of the President,EOP,1100,Council on Environmental Quality and Office of Environmental Quality,council-on-environmental-quality-and-office-of-environmental-quality,3374,24490711.71
011-1454,"Salaries and Expenses, Special Assistance to the President, Executive Office of the President","Salaries and Expenses, Special Assistance to the President, Executive Office of the President",011,1454,Executive Office of the President,EOP,1100,Special Assistance to the President and the Official Residence of the Vice President,special-assistance-to-the-president-and-the-official-residence-of-the-vice-president,3375,13618183.36
011-1457,"Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President","Salaries and Expenses, Office of National Drug Control Policy, Executive Office of the President",011,1457,Executive Office of the President,EOP,1100,Office of National Drug Control Policy,office-of-national-drug-control-policy,3376,31017778.8
011-1460,"Other Federal Drug Control Programs, Executive Office of the President","Other Federal Drug Control Programs, Executive Office of the President",011,1460,Executive Office of the President,EOP,1100,Federal Drug Control Programs,federal-drug-control-programs,3377,227170416.58
011-1461,"Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President","Counterdrug Technology Assessment Center, Office of National Drug Control Policy, Executive Office of the President",011,1461,Executive Office of the President,EOP,1100,Federal Drug Control Programs,federal-drug-control-programs,3378,82729.38
011-1475,Global Agriculture and Food Security Program,Global Agriculture and Food Security Program,011,1475,Executive Office of the President,EOP,1100,Multilateral Assistance,multilateral-assistance,3379,
011-1750,"General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President","General Fund Payment to the Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",011,1750,Executive Office of the President,EOP,1100,Office of the United States Trade Representative,office-of-the-united-states-trade-representative,3380,1026173.37
011-1751,"Intellectual Property Enforcement Coordinator, Executive Office of the President","Intellectual Property Enforcement Coordinator, Executive Office of the President",011,1751,Executive Office of the President,EOP,1100,Unanticipated Needs,unanticipated-needs,6320,6190461.69
011-1800,"Salaries and Expenses, Office of the National Cyber Director, Executive Office of the President","Salaries and Expenses, Office of the National Cyber Director, Executive Office of the President",011,1800,Executive Office of the President,EOP,1100,Office of the National Cyber Director,office-of-the-national-cyber-director,6399,39841262.67
011-1802,"Salaries and Expenses, Office of Pandemic Preparedness and Response, Executive Office of the President","Salaries and Expenses, Office of Pandemic Preparedness and Response, Executive Office of the President",011,1802,Executive Office of the President,EOP,1100,Office of Pandemic Preparedness and Response,office-of-pandemic-preparedness-and-response,6708,161429.62
011-1900,"Salaries and Expenses, Council of Economic Advisers, Executive Office of the President","Salaries and Expenses, Council of Economic Advisers, Executive Office of the President",011,1900,Executive Office of the President,EOP,1100,Council of Economic Advisers,council-of-economic-advisers,3381,6958891.08
011-2000,"Salaries and Expenses, National Security Council, Executive Office of the President","Salaries and Expenses, National Security Council, Executive Office of the President",011,2000,Executive Office of the President,EOP,1100,National Security Council and Homeland Security Council,national-security-council-and-homeland-security-council,3382,26172648.65
011-2600,"Office of Science and Technology Policy, Executive Office of the President","Office of Science and Technology Policy, Executive Office of the President",011,2600,Executive Office of the President,EOP,1100,Office of Science and Technology Policy,office-of-science-and-technology-policy,3384,10744056.69
011-3963,"Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President","Office of Environmental Quality Management Fund, Council on Environmental Quality and Office of Environmental Quality, Executive Office of the President",011,3963,Executive Office of the President,EOP,1100,Council on Environmental Quality and Office of Environmental Quality,council-on-environmental-quality-and-office-of-environmental-quality,3386,259437.81
011-4116,"Special Defense Acquisition Fund, Funds Appropriated to the President","Special Defense Acquisition Fund, Funds Appropriated to the President",011,4116,Department of Defense,DOD,097,Military Sales Program,military-sales-program,3387,236625487.22
011-4121,"Foreign Military Loan Liquidating Account, Funds Appropriated to the President","Foreign Military Loan Liquidating Account, Funds Appropriated to the President",011,4121,Department of Defense,DOD,097,International Security Assistance,international-security-assistance,3388,6505151.57
011-4263,"Reimbursable Expenses, Executive Residence at the White House, Executive Office of President","Reimbursable Expenses, Executive Residence at the White House, Executive Office of President",011,4263,Executive Office of the President,EOP,1100,Executive Residence at the White House,executive-residence-at-the-white-house,3389,
011-5395,"Host Country Resident Contractors Separation Liability Fund, Peace Corps","Host Country Resident Contractors Separation Liability Fund, Peace Corps",011,5395,Peace Corps,PC,1125,Peace Corps,peace-corps,3391,0.0
011-5512,"Spectrum Relocation Fund, Executive Office of the President","Spectrum Relocation Fund, Executive Office of the President",011,5512,Executive Office of the President,EOP,1100,Unanticipated Needs,unanticipated-needs,3392,611.0
011-5766,"Submarine Security Activities, National Security Council, Executive Office of the President","Submarine Security Activities, National Security Council, Executive Office of the President",011,5766,Executive Office of the President,EOP,1100,Unanticipated Needs,unanticipated-needs,7104,1000000000.0
011-6016,"Readjustment Allowances, Peace Corps","Readjustment Allowances, Peace Corps",011,6016,Peace Corps,PC,1125,,,3393,
011-8240,"Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President","Gifts and Donations, the White House Conference on Drug Abuse and Control, Executive Office of the President",011,8240,Executive Office of the President,EOP,1100,Office of National Drug Control Policy,office-of-national-drug-control-policy,3403,16359.51
011-8242,"Advances, Foreign Military Sales, Funds Appropriated to the President","Advances, Foreign Military Sales, Funds Appropriated to the President",011,8242,Department of Defense,DOD,097,Military Sales Program,military-sales-program,3405,
011-8245,"Gifts and Contributions, Peace Corps","Gifts and Contributions, Peace Corps",011,8245,Peace Corps,PC,1125,Peace Corps,peace-corps,3407,4375067.51
011-8246,"Advances from Foreign Governments, Peace Corps","Advances from Foreign Governments, Peace Corps",011,8246,Peace Corps,PC,1125,Peace Corps,peace-corps,3408,116063.26
011-8345,"Foreign Service National Separation Liability Trust Fund, Peace Corps","Foreign Service National Separation Liability Trust Fund, Peace Corps",011,8345,Peace Corps,PC,1125,Peace Corps,peace-corps,3409,597645.23
011-8581,"Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President","Trade Enforcement Trust Fund, Office of the U.S. Trade Representative, Executive Office of the President",011,8581,Executive Office of the President,EOP,1100,Office of the United States Trade Representative,office-of-the-united-states-trade-representative,3410,39322432.11
012-0013,"Expenses, Office of the Chief Information Officer, Agriculture","Expenses, Office of the Chief Information Officer, Agriculture",012,0013,Department of Agriculture,USDA,012,Executive Operations,executive-operations,3413,100615117.78
012-0014,"Expenses, Office of the Chief Financial Officer, Agriculture","Expenses, Office of the Chief Financial Officer, Agriculture",012,0014,Department of Agriculture,USDA,012,Executive Operations,executive-operations,3414,8318100.33
