federal_account_symbol,account_title,agency,bureau
000-0100,"Compensation of Members and Related Administrative Expenses, Senate",Congress,Clerk of the Senate
000-0102,"Compensation and Mileage of the Vice President and Senators, Senate",Congress,Clerk of the Senate
000-0107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",Congress,Clerk of the Senate
000-0108,"Representation Allowances for the Majority and Minority Leaders, Senate",Congress,Clerk of the Senate
000-0110,"Salaries, Officers and Employees, Senate",Congress,Clerk of the Senate
000-0115,"Payment to Widows and Heirs of Deceased Members of Congress, Senate",Congress,Clerk of the Senate
000-0118,"Contingent Expenses, Folding Documents, Senate",Congress,Clerk of the Senate
000-0123,"Contingent Expenses, Miscellaneous Items, Senate",Congress,Clerk of the Senate
000-0126,"Contingent Expenses, Secretary of the Senate, Senate",Congress,Clerk of the Senate
000-0127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",Congress,Clerk of the Senate
000-0128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",Congress,Clerk of the Senate
000-0128,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",Congress,Clerk of the Senate
000-0129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",Congress,Clerk of the Senate
000-0130,"Contingent Expenses, Senator's Official Personnel and Office    Expense Account, Senate",Congress,Clerk of the Senate
000-0130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",Congress,Clerk of the Senate
000-0130,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",Congress,Clerk of the Senate
000-0132,"Official Mail Costs, Senate",Congress,Clerk of the Senate
000-0140,"Contingent Expenses, Stationery, Revolving Fund, Senate",Congress,Clerk of the Senate
000-0165,"Contingent Expenses, Automobiles and Maintenance, Senate",Congress,Clerk of the Senate
000-0171,"Salaries and Expenses, Office of Senate Legal Counsel, Senate",Congress,Clerk of the Senate
000-0172,"Expense Allowance for the Secretary of the Senate, Sergeant at Arms and Doorkeeper of the Senate and Secretaries for the Majority and for the Minority of the Senate, Senate",Congress,Clerk of the Senate
000-0174,"Capitol Guide Service and Special Services Office, Senate",Congress,Clerk of the Senate
000-0175,"Sergeant at Arms Business Continuity and Disaster Recovery Fund, Senate",Congress,Clerk of the Senate
000-0176,"Contingent Expenses, Sergeant at Arms Fellowships Fund, Senate",Congress,Clerk of the Senate
000-0177,"Contingent Expenses, Senate, Salaries, Capitol Police",Congress,Clerk of the Senate
000-0181,"Salaries and Contingent Expenses, Joint Economic Committee, Senate",Congress,Clerk of the Senate
000-0182,"Salaries and Contingent Expenses, Senate Policy Committees, Senate",Congress,Clerk of the Senate
000-0184,"Settlements and Awards Reserve, Contingent Expenses, Senate",Congress,Clerk of the Senate
000-0185,"Salaries and Expenses, Office of the Legislative Counsel of the Senate, Senate",Congress,Clerk of the Senate
000-0186,"JOINT CONGRESSIONAL COMMITTEE ON INAUGURAL CEREMONIES OF 2021, SENATE",Congress,Clerk of the Senate
